A-MYB 	 ENSG00000185697 
ZNF791 	 ENSG00000173875 
ZNF792 	 ENSG00000180884 
ZNF793 	 ENSG00000188227 
ZNF799 	 ENSG00000196466 
ZNF80 	 ENSG00000174255 
ZNF800 	 ENSG00000048405 
ZNF805 	 ENSG00000204524 
ZNF808 	 ENSG00000198482 
ZNF81 	 ENSG00000197779 
ZNF812 	 ENSG00000224689 
ZNF813 	 ENSG00000198346 
ZNF814 	 ENSG00000204514 
ZNF816 	 ENSG00000180257 
ZNF823 	 ENSG00000197933 
ZNF829 	 ENSG00000185869 
ZNF83 	 ENSG00000167766 
ZNF835 	 ENSG00000127903 
ZNF836 	 ENSG00000196267 
ZNF837 	 ENSG00000152475 
ZNF84 	 ENSG00000198040 
ZNF841 	 ENSG00000197608 
ZNF844 	 ENSG00000177599 
ZNF844 	 ENSG00000223547 
ZNF845 	 ENSG00000213799 
ZNF846 	 ENSG00000196605 
ZNF853 	 ENSG00000236609 
ZNF860 	 ENSG00000197385 
ZNF878 	 ENSG00000257446 
ZNF879 	 ENSG00000234284 
ZNF880 	 ENSG00000221923 
ZNF891 	 ENSG00000214029 
ZNF91 	 ENSG00000167232 
ZNF99 	 ENSG00000213973 
ZSCAN1 	 ENSG00000152467 
ZSCAN10 	 ENSG00000130182 
ZSCAN12 	 ENSG00000158691 
ZSCAN16 	 ENSG00000196812 
ZSCAN2 	 ENSG00000176371 
ZSCAN20 	 ENSG00000121903 
ZSCAN21 	 ENSG00000166529 
ZSCAN22 	 ENSG00000182318 
ZSCAN23 	 ENSG00000187987 
ZSCAN29 	 ENSG00000140265 
ZSCAN30 	 ENSG00000186814 
ZSCAN4 	 ENSG00000180532 
ZSCAN5A 	 ENSG00000131848 
ZSCAN5B 	 ENSG00000197213 
ZSCAN5C 	 ENSG00000204532 
ZSCAN5D 	 ENSG00000267908 
ZXDA 	 ENSG00000198205 
ZXDB 	 ENSG00000198455 
ZXDC 	 ENSG00000070476 
c-Fos 	 ENSG00000170345 
c-Jun 	 ENSG00000177606 
c-MAF 	 ENSG00000178573 
cMYC 	 ENSG00000136997 
cRel 	 ENSG00000162924 
p53 	 ENSG00000141510 
p63 	 ENSG00000073282 
p73 	 ENSG00000078900 
